600188,YZMY,兖州煤业,19980701
600189,JLSG,吉林森工,19981007
600190,JZG,锦州港,19990609
600191,HZSY,华资实业,19981210
600192,CCDG,长城电工,19981224
600193,CXZY,创兴资源,19990527
600195,ZMGF,中牧股份,19990107
600196,FXYY,复星医药,19980807
600197,YLT,伊力特,19990916
600198,DTDX,大唐电信,19981021
600199,JZZJ,金种子酒,19980812
600200,JSWZ,江苏吴中,19990401
600201,JYJT,金宇集团,19990115
600202,HKD,哈空调,19990603
600203,FRDZ,福日电子,19990514
600206,YYXC,有研新材,19990319
600207,ACGK,安彩高科,19990714
600208,XHZB,新湖中宝,19990623
600209,LDFZ,罗顿发展,19990325
600210,ZJQY,紫江企业,19990824
600211,XZYY,西藏药业,19990721
600212,JQSY,江泉实业,19990817
600213,YXKC,亚星客车,19990831
600215,CCJK,长春经开,19990909
600216,ZJYY,浙江医药,19991021
600217,*STQL,*ST秦岭,19991216
600218,QCDL,全柴动力,19981203
600219,NSLY,南山铝业,19991223
600220,JSYG,江苏阳光,19990927
600221,HNHK,海南航空,19991125
600222,TLYY,太龙药业,19991105
600223,LSZY,鲁商置业,20000113
600225,TJSJ,天津松江,20000127
600226,SHBK,升华拜克,19991116
600227,CTH,赤天化,20000221
600228,CJSH,昌九生化,19990119
600229,QDJY,青岛碱业,20000309
600230,CZDH,沧州大化,20000406
600231,LGGF,凌钢股份,20000511
600232,JYGF,金鹰股份,20000602
600233,DYCS,大杨创世,20000608
600234,SSWH,山水文化,20000615
600235,MFTZ,民丰特纸,20000615
600236,GGDL,桂冠电力,20000323
600237,TFDZ,铜峰电子,20000609
600238,HNYD,海南椰岛,20000120
600239,YNCT,云南城投,19991202
600240,HYZB,华业资本,20000628
600241,SDWH,时代万恒,20001128
600242,*STZC,*ST中昌,20001207
600243,QHHD,青海华鼎,20001120
600246,WTDC,万通地产,20000922
600247,*STCC,*ST成城,20001123
600248,YCHJ,延长化建,20000622
600249,LMZ,两面针,20040130
600250,NFGF,南纺股份,20010306
600251,GNGF,冠农股份,20030609
600252,ZHJT,中恒集团,20001130
600255,XKCL,鑫科材料,20001122
600256,GHNY,广汇能源,20000526
600257,DHGF,大湖股份,20000612
600258,SLJD,首旅酒店,20000601
600259,GSYS,广晟有色,20000525
600260,KLKJ,凯乐科技,20000706
600261,YGZM,阳光照明,20000720
600262,BFGF,北方股份,20000630
600265,STJG,ST景谷,20000825
600266,BJCJ,北京城建,19990203
600267,HZYY,海正药业,20000725
600268,GDNZ,国电南自,19991118
600269,GYGS,赣粤高速,20000518
600270,WYFZ,外运发展,20001228
600271,HTXX,航天信息,20030711
600272,KKSY,开开实业,20010228
600273,JHNY,嘉化能源,20030627
600275,WCY,武昌鱼,20000810
600276,HRYY,恒瑞医药,20001018
600277,YLNY,亿利能源,20000725
600278,DFCY,东方创业,20000712
600279,ZQGJ,重庆港九,20000731
600280,ZYSC,中央商场,20000926
600281,THGF,太化股份,20001109
600282,NGGF,南钢股份,20000919
600283,QJSL,钱江水利,20001018
600284,PDJS,浦东建设,20040316
600285,LRZY,羚锐制药,20001018
600287,JSST,江苏舜天,20000901
